device,network,policy,seed,scenario,cacheSize,alerts,reliability,durationSec,queryRatePerMin,cacheHitRate,deliveryRate,avgFreshness,staleAccessRate,redundancyIndex,actionabilityFirstRatio,timelinessConsistency,pushesSent,pushSuppressRate,pushDuplicateRate,pushTimelyFirstRatio
Tablet/Laptop,Good,TTLOnly,FISHDINNER,Urban,512,400,0.900,900,60,0.998420,1.000000,0.781578,0.000000,0.572500,0.833333,0.173077,0,0.000000,0.000000,0.000000
Tablet/Laptop,Good,PriorityFresh,FISHDINNER,Urban,512,400,0.900,900,60,0.998420,1.000000,0.781578,0.000000,0.572500,0.833333,0.173077,0,0.000000,0.000000,0.000000
Tablet/Laptop,Good,PAFTinyLFU,FISHDINNER,Urban,512,400,0.900,900,60,0.998420,1.000000,0.781578,0.000000,0.572500,0.833333,0.173077,0,0.000000,0.000000,0.000000
Tablet/Laptop,Fair,LRU,FISHDINNER,Urban,512,400,0.850,900,60,0.998411,0.997500,0.780259,0.000000,0.571429,0.848684,0.184211,0,0.000000,0.000000,0.000000
Tablet/Laptop,Fair,TTLOnly,FISHDINNER,Urban,512,400,0.850,900,60,0.998411,0.997500,0.780259,0.000000,0.571429,0.848684,0.184211,0,0.000000,0.000000,0.000000
Tablet/Laptop,Fair,PriorityFresh,FISHDINNER,Urban,512,400,0.850,900,60,0.998411,0.997500,0.780259,0.000000,0.571429,0.848684,0.184211,0,0.000000,0.000000,0.000000
Tablet/Laptop,Fair,PAFTinyLFU,FISHDINNER,Urban,512,400,0.850,900,60,0.998411,0.997500,0.780259,0.000000,0.571429,0.848684,0.184211,0,0.000000,0.000000,0.000000
Tablet/Laptop,Poor,LRU,FISHDINNER,Urban,512,400,0.700,900,60,0.998394,0.987500,0.785033,0.000000,0.572152,0.878378,0.182432,0,0.000000,0.000000,0.000000
Tablet/Laptop,Poor,TTLOnly,FISHDINNER,Urban,512,400,0.700,900,60,0.998394,0.987500,0.785033,0.000000,0.572152,0.878378,0.182432,0,0.000000,0.000000,0.000000
Tablet/Laptop,Poor,PriorityFresh,FISHDINNER,Urban,512,400,0.700,900,60,0.998394,0.987500,0.785033,0.000000,0.572152,0.878378,0.182432,0,0.000000,0.000000,0.000000
Tablet/Laptop,Poor,PAFTinyLFU,FISHDINNER,Urban,512,400,0.700,900,60,0.998394,0.987500,0.785033,0.000000,0.572152,0.878378,0.182432,0,0.000000,0.000000,0.000000
Tablet/Laptop,Very Poor,LRU,FISHDINNER,Urban,512,400,0.600,900,60,0.998421,0.982500,0.779619,0.000000,0.569975,0.827815,0.185430,0,0.000000,0.000000,0.000000
Tablet/Laptop,Very Poor,TTLOnly,FISHDINNER,Urban,512,400,0.600,900,60,0.998421,0.982500,0.779619,0.000000,0.569975,0.827815,0.185430,0,0.000000,0.000000,0.000000
Tablet/Laptop,Very Poor,PriorityFresh,FISHDINNER,Urban,512,400,0.600,900,60,0.998421,0.982500,0.779619,0.000000,0.569975,0.827815,0.185430,0,0.000000,0.000000,0.000000
Tablet/Laptop,Very Poor,PAFTinyLFU,FISHDINNER,Urban,512,400,0.600,900,60,0.998421,0.982500,0.779619,0.000000,0.569975,0.827815,0.185430,0,0.000000,0.000000,0.000000
Tablet/Laptop,Degraded,LRU,FISHDINNER,Urban,512,400,0.500,900,60,0.998424,0.955000,0.781525,0.000000,0.562827,0.842105,0.171053,0,0.000000,0.000000,0.000000
Tablet/Laptop,Degraded,TTLOnly,FISHDINNER,Urban,512,400,0.500,900,60,0.998424,0.955000,0.781525,0.000000,0.562827,0.842105,0.171053,0,0.000000,0.000000,0.000000
Tablet/Laptop,Degraded,PriorityFresh,FISHDINNER,Urban,512,400,0.500,900,60,0.998424,0.955000,0.781525,0.000000,0.562827,0.842105,0.171053,0,0.000000,0.000000,0.000000
Tablet/Laptop,Degraded,PAFTinyLFU,FISHDINNER,Urban,512,400,0.500,900,60,0.998424,0.955000,0.781525,0.000000,0.562827,0.842105,0.171053,0,0.000000,0.000000,0.000000
Tablet/Laptop,Disaster,LRU,FISHDINNER,Urban,512,400,0.300,900,60,0.994003,0.855000,0.777021,0.000000,0.543860,0.784722,0.215278,0,0.000000,0.000000,0.000000
Tablet/Laptop,Disaster,TTLOnly,FISHDINNER,Urban,512,400,0.300,900,60,0.994003,0.855000,0.777021,0.000000,0.543860,0.784722,0.215278,0,0.000000,0.000000,0.000000
Tablet/Laptop,Disaster,PriorityFresh,FISHDINNER,Urban,512,400,0.300,900,60,0.994003,0.855000,0.777021,0.000000,0.543860,0.784722,0.215278,0,0.000000,0.000000,0.000000
Tablet/Laptop,Disaster,PAFTinyLFU,FISHDINNER,Urban,512,400,0.300,900,60,0.994003,0.855000,0.777021,0.000000,0.543860,0.784722,0.215278,0,0.000000,0.000000,0.000000
Desktop PC,Perfect,LRU,FISHDINNER,Urban,1024,400,1.000,900,60,0.998456,1.000000,0.782650,0.000000,0.572500,0.818182,0.188312,0,0.000000,0.000000,0.000000
Desktop PC,Perfect,TTLOnly,FISHDINNER,Urban,1024,400,1.000,900,60,0.998456,1.000000,0.782650,0.000000,0.572500,0.818182,0.188312,0,0.000000,0.000000,0.000000
Desktop PC,Perfect,PriorityFresh,FISHDINNER,Urban,1024,400,1.000,900,60,0.998456,1.000000,0.782650,0.000000,0.572500,0.818182,0.188312,0,0.000000,0.000000,0.000000
Desktop PC,Perfect,PAFTinyLFU,FISHDINNER,Urban,1024,400,1.000,900,60,0.998456,1.000000,0.782650,0.000000,0.572500,0.818182,0.188312,0,0.000000,0.000000,0.000000
Desktop PC,Excellent,LRU,FISHDINNER,Urban,1024,400,0.950,900,60,0.998442,1.000000,0.780190,0.000000,0.572500,0.819355,0.187097,0,0.000000,0.000000,0.000000
Desktop PC,Excellent,TTLOnly,FISHDINNER,Urban,1024,400,0.950,900,60,0.998442,1.000000,0.780190,0.000000,0.572500,0.819355,0.187097,0,0.000000,0.000000,0.000000
Desktop PC,Excellent,PriorityFresh,FISHDINNER,Urban,1024,400,0.950,900,60,0.998442,1.000000,0.780190,0.000000,0.572500,0.819355,0.187097,0,0.000000,0.000000,0.000000
Desktop PC,Excellent,PAFTinyLFU,FISHDINNER,Urban,1024,400,0.950,900,60,0.998442,1.000000,0.780190,0.000000,0.572500,0.819355,0.187097,0,0.000000,0.000000,0.000000
Desktop PC,Good,LRU,FISHDINNER,Urban,1024,400,0.900,900,60,0.998420,1.000000,0.781578,0.000000,0.572500,0.833333,0.173077,0,0.000000,0.000000,0.000000
Desktop PC,Good,TTLOnly,FISHDINNER,Urban,1024,400,0.900,900,60,0.998420,1.000000,0.781578,0.000000,0.572500,0.833333,0.173077,0,0.000000,0.000000,0.000000
Desktop PC,Good,PriorityFresh,FISHDINNER,Urban,1024,400,0.900,900,60,0.998420,1.000000,0.781578,0.000000,0.572500,0.833333,0.173077,0,0.000000,0.000000,0.000000
